,lat,lon,date_piqure_saisie,sex_pique,nbr_tique,environnement,raison_presence,departement,year,month,week,day,moisannee
0,48.109268,7.194085,2017-06-20,Homme,1,Jardin priv̩ ou parc municipal,Lieu de r̩sidence,Haut-Rhin,2017,6,25,20,2017-06
1,48.46791,5.9666395,2018-05-20,Homme,1,,Randonn̩e; promenade; pique-nique,Meurthe-et-Moselle,2018,5,20,20,2018-05
2,48.751965,6.341354,2017-06-13,Femme,1,Autre,Activit̩ professionnelle,Meurthe-et-Moselle,2017,6,24,13,2017-06
3,48.13773804,5.39148903,2017-08-31,Homme,1,For̻t,Sortie scolaire,Haute-Marne,2017,8,35,31,2017-08
4,48.71174744,7.23521805,2018-06-16,Homme,1,Jardin priv̩,Lieu de r̩sidence,Moselle,2018,6,24,16,2018-06
5,48.98005,5.51262,2017-07-16,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Meuse,2017,7,28,16,2017-07
6,48.16415,7.036005,2017-07-17,Femme,1,For̻t,Randonn̩e; promenade; pique-nique,Vosges,2017,7,29,17,2017-07
7,49.179214,6.10574,2018-05-20,Homme,1,Jardin priv̩,Lieu de r̩sidence,Moselle,2018,5,20,20,2018-05
8,48.893875,7.130334,2017-08-06,Homme,1,Jardin priv̩ ou parc municipal,Lieu de r̩sidence,Bas-Rhin,2017,8,31,6,2017-08
9,48.810042,6.904643,2018-03-09,Femme,2,For̻t,Activit̩ professionnelle,Moselle,2018,3,10,9,2018-03
10,48.3444,7.14184,2018-04-08,Femme,1,For̻t,Randonn̩e; promenade; pique-nique,Bas-Rhin,2018,4,14,8,2018-04
11,48.354065,6.585545,2018-04-24,Femme,1,Jardin priv̩,Lieu de r̩sidence,Vosges,2018,4,17,24,2018-04
12,48.497772,4.6405816,2018-05-06,Femme,4,For̻t,Randonn̩e; promenade; pique-nique,Aube,2018,5,18,6,2018-05
13,48.60572,6.394666,2018-06-19,Homme,1,,,Meurthe-et-Moselle,2018,6,25,19,2018-06
14,48.571774,7.686066,2017-07-17,Femme,1,Jardin priv̩ ou parc municipal,Lieu de r̩sidence,Bas-Rhin,2017,7,29,17,2017-07
15,48.414036,7.215546,2018-05-20,Homme,1,,,Bas-Rhin,2018,5,20,20,2018-05
16,47.80975,7.102637,2018-05-20,Homme,1,Jardin priv̩,Lieu de r̩sidence,Haut-Rhin,2018,5,20,20,2018-05
17,48.07738,4.401897,2018-05-08,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Aube,2018,5,19,8,2018-05
18,49.350784,6.138665,2018-05-21,Homme,1,For̻t,Lieu de r̩sidence,Moselle,2018,5,21,21,2018-05
19,48.02303899,6.77413989,2018-05-24,Femme,2,For̻t,Randonn̩e; promenade; pique-nique,Vosges,2018,5,21,24,2018-05
20,48.702739,6.216332,2018-05-26,Homme,1,Prairie,Randonn̩e; promenade; pique-nique,Meurthe-et-Moselle,2018,5,21,26,2018-05
21,48.447755,6.611998,2018-05-26,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Vosges,2018,5,21,26,2018-05
22,48.7618,5.157893,2018-05-27,Homme,1,Jardin priv̩,Lieu de r̩sidence,Meuse,2018,5,21,27,2018-05
23,48.57435453,6.18152565,2018-05-26,Homme,1,Jardin priv̩,Lieu de r̩sidence,Meurthe-et-Moselle,2018,5,21,26,2018-05
24,47.731424,7.379934,2018-05-27,Femme,2,Jardin priv̩,Lieu de r̩sidence,Haut-Rhin,2018,5,21,27,2018-05
25,48.77134,6.8962026,2018-05-28,Homme,1,Autre,Sortie scolaire,Moselle,2018,5,22,28,2018-05
26,48.101083,7.232837,2017-07-17,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Haut-Rhin,2017,7,29,17,2017-07
27,49.314907,6.008744,2018-05-26,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Moselle,2018,5,21,26,2018-05
28,47.834635,5.327132,2018-05-28,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Haute-Marne,2018,5,22,28,2018-05
29,48.364906,7.1417093,2018-05-26,Femme,1,For̻t,Randonn̩e; promenade; pique-nique,Bas-Rhin,2018,5,21,26,2018-05
30,48.513,7.767405,2017-07-18,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Bas-Rhin,2017,7,29,18,2017-07
31,49.123065,7.157193,2018-06-01,Homme,1,Jardin priv̩,Lieu de r̩sidence,Moselle,2018,6,22,1,2018-06
32,48.077382,4.401899,2018-06-01,Homme,2,For̻t,,Aube,2018,6,22,1,2018-06
33,48.562218,6.3290496,2018-05-26,Femme,1,Prairie,,Meurthe-et-Moselle,2018,5,21,26,2018-05
34,48.562256,6.3292966,2018-05-26,Homme,1,Prairie,,Meurthe-et-Moselle,2018,5,21,26,2018-05
35,49.125732,6.115791,2018-06-06,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Moselle,2018,6,23,6,2018-06
36,48.077297,4.402073,2018-05-26,Femme,1,,,Aube,2018,5,21,26,2018-05
37,48.564327,7.756405,2018-06-09,Homme,1,Jardin priv̩,Lieu de r̩sidence,Bas-Rhin,2018,6,23,9,2018-06
38,48.566684,6.002034,2018-06-10,Homme,7,For̻t,Randonn̩e; promenade; pique-nique,Meurthe-et-Moselle,2018,6,23,10,2018-06
39,49.28314565,6.14752865,2018-06-10,Femme,3,For̻t,Randonn̩e; promenade; pique-nique,Moselle,2018,6,23,10,2018-06
40,48.708355,6.362767,2018-06-11,Homme,9,For̻t,,Meurthe-et-Moselle,2018,6,24,11,2018-06
41,48.87914,7.2204742,2018-06-14,Femme,1,Jardin priv̩,Lieu de r̩sidence,Bas-Rhin,2018,6,24,14,2018-06
42,49.110232,6.192595,2018-06-19,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Moselle,2018,6,25,19,2018-06
43,48.0566179,4.5359931,2018-06-18,Homme,1,For̻t,Randonn̩e; promenade; pique-nique,Aube,2018,6,25,18,2018-06
44,49.178352,7.014519,2018-06-20,Femme,2,Jardin priv̩,Lieu de r̩sidence,Moselle,2018,6,25,20,2018-06
45,48.547028,7.495438,2018-06-19,Homme,1,Jardin priv̩,,Bas-Rhin,2018,6,25,19,2018-06
